ClassID,Name,MaxLevel,Cost,InitHP,MaxHP,AttackType,InitAtk,MaxAtk,MaxTarget,InitDef,MaxDef,AtkSpeedCorrection,AtkArea,JobChange,JobChangeMaterial1,JobChangeMaterial2,JobChangeMaterial3,Data_ExtraAwakeOrb1,Data_ExtraAwakeOrb2,Dot,MissileID,ApproachFlag,BlockNum,DotNo,AttackWait,AttackAnimNo,BuildExp,HpGaugeHeight,AttackAttribute,HitEffect,Explanation,ClassAbility1,ClassAbilityPower1,AwakeType1,AwakeType2,_LowRareEvolveMaterial_01,_LowRareEvolveMaterial_02,_LowRareEvolveMaterial_03,SortGroupID,DisplayPermission,PlaceAttribute,BattleStyle,ChainCount
100,ソルジャー,50,5,700,1000,true,150,235,1,100,150,100,40,110,100,200,0,0,0,6,-1,true,2,0,35,1,7,0,0,6291712,２体までの敵を\n足止めできる,0,0,0,0,0,0,0,20,,1,1,1
101,下級ソルジャー,50,5,700,1000,true,150,235,1,100,150,100,40,0,0,0,0,0,0,6,-1,true,2,0,35,1,5,0,0,6291712,２体までの敵を\n足止めできる,0,0,0,0,0,0,0,20,,1,1,1
110,ソルジャーチーフ,80,8,1000,1400,true,235,320,1,150,215,100,40,120,100,400,600,0,0,6,-1,true,3,1,35,1,20,0,0,6291712,３体までの敵を\n足止めできる,0,0,0,0,0,0,0,20,,1,1,1
120,ソルジャーエリート,99,8,1150,1850,true,290,440,1,198,255,100,40,0,100,400,600,110,0,6,-1,true,3,2,30,1,50,0,0,6291712,３体までの敵を\n足止めできる,0,0,170,180,0,0,0,20,,1,1,1
170,コマンダー,99,6,1150,1850,true,325,480,1,215,275,100,40,0,0,0,0,0,0,6,-1,true,3,3,30,1,50,0,0,6291712,３体までの敵を足止めできる\n配置中のみ、全ユニットの\n攻撃力と防御力+3％、\n魔法耐性+3,428,0,0,0,0,0,0,20,,1,1,1
180,ウォリアー,99,8,1350,2100,true,390,550,1,290,360,100,40,0,0,0,0,0,0,6,-1,true,3,4,30,1,50,0,0,6291712,３体までの敵を足止めできる\n以下がそれぞれ30％の確率で発動\n・攻撃後の硬直なし\n・敵の攻撃を完全に無効化する,429,0,0,0,0,0,0,20,,1,1,1
200,ヘビーアーマー,50,14,1250,1750,true,190,250,1,290,410,100,40,210,100,200,0,0,0,3,-1,true,3,0,20,2,7,0,0,6291718,３体までの敵を足止めできる,0,0,0,0,0,0,0,20,,1,1,1
201,下級ヘビーアーマー,50,14,1250,1750,true,190,250,1,290,410,100,40,0,0,0,0,0,0,3,-1,true,3,0,20,2,5,0,0,6291718,３体までの敵を足止めできる,0,0,0,0,0,0,0,20,,1,1,1
210,バトルマスター,80,17,1750,2350,true,250,320,1,410,560,100,40,220,200,200,100,0,0,3,-1,true,3,1,20,2,20,0,0,6291718,３体までの敵を足止めできる,0,0,0,0,0,0,0,20,,1,1,1
220,ギガントアーマー,99,19,2200,3300,true,290,360,1,540,700,100,40,0,200,200,100,210,0,3,-1,true,4,2,20,2,50,0,0,6291718,４体までの敵を足止めできる,0,0,270,280,0,0,0,20,,1,1,1
270,アーマーガーディアン,99,19,2500,3600,true,290,360,1,720,910,100,40,0,0,0,0,0,0,3,-1,true,5,3,20,2,50,0,0,6291718,５体までの敵を足止めできる\n魔法耐性が上昇\nスキル未使用時のみ\n防御力1.5倍,666,0,0,0,0,0,0,20,,1,1,1
280,ギガントハンマー,99,19,2350,3450,true,490,580,1,560,730,100,40,0,0,0,0,0,0,3,-1,true,4,4,20,2,50,0,0,6291718,４体までの敵を足止めできる\nスキル中の攻撃力1.4倍、\n防御力1.2倍\nスキル再使用時間を45％短縮,660,0,0,0,0,0,0,20,,1,1,1
300,ワルキューレ,50,5,665,950,true,210,295,1,150,225,100,40,310,100,200,0,0,0,19,0,true,1,0,30,2,7,0,3,6291712,敵を倒すと出撃コスト回復\n撤退時にコストが７０％回復,129,70,0,0,0,0,0,20,,1,1,1
310,ユニコーンナイト,80,8,950,1330,true,295,380,1,225,300,100,40,320,300,400,200,0,0,19,0,true,1,1,30,2,20,0,3,6291712,敵を倒すと出撃コスト回復\n撤退時にコストが８０％回復,130,80,0,0,0,0,0,20,,1,1,1
320,ブリュンヒルデ,99,8,1330,1800,true,330,466,1,262,348,100,40,0,300,400,200,310,0,19,0,true,1,2,30,2,50,0,3,6291712,敵を倒すと出撃コスト回復\n撤退時にコスト全回復,131,0,370,380,0,0,0,20,,1,1,1
370,レギンレイヴ,99,8,1650,2200,true,550,710,1,320,400,100,40,0,0,0,0,0,0,19,0,true,1,3,25,2,50,0,3,6291712,敵を倒すと出撃コスト回復\n撤退時にコスト全回復\n魔法耐性が大幅に上昇\n攻撃の後の待ち時間を少し短縮,336,0,0,0,0,0,0,20,,1,1,1
380,ゲイレルル,99,10,1400,1850,true,330,466,2,262,348,100,40,0,0,0,0,0,0,19,0,true,2,4,30,2,50,0,3,6291712,敵を倒すと出撃コスト回復 配置ユ\nニット(トークン含まず)2体以下の\n時出撃コスト-3 撤退時コスト全回\n復 ブロックした敵全員に攻撃可能,338,0,0,0,0,0,0,20,,1,1,1
400,ローグ,50,3,550,800,true,160,240,1,100,150,100,40,410,100,10000,0,0,0,21,0,true,1,0,25,2,7,0,0,6291712,50％の確率で敵からの\n物理攻撃を回避する\nごくまれに敵を即死させる,305,0,0,0,0,0,0,20,,1,1,1
410,アサシン,80,5,800,1100,true,240,320,1,150,200,100,40,420,400,600,800,0,0,21,0,true,1,1,25,2,20,0,0,6291712,50％の確率で敵からの\n物理攻撃を回避する\nごくまれに敵を即死させる,306,0,0,0,0,0,0,20,,1,1,1
420,マスターアサシン,99,5,950,1400,true,295,370,1,162,225,100,40,0,400,600,800,410,0,21,0,true,1,2,25,2,50,0,0,6291712,50％の確率で敵からの\n物理攻撃を回避する\nごくまれに敵を即死させる\n自身が死亡した時撤退として扱う,307,1,470,480,0,0,0,20,,1,1,1
470,ナイトアサシン,99,5,1050,1500,true,295,370,1,162,225,100,40,0,0,0,0,0,0,21,0,true,1,3,25,2,50,0,0,6291712,60％の確率で敵からの\n物理攻撃を回避する\nまれに敵を即死させる\n自身が死亡した時撤退として扱う,308,0,0,0,0,0,0,20,,1,1,1
480,エンフォーサー,99,5,1500,2000,true,360,480,1,180,240,100,40,0,0,0,0,0,0,21,0,true,1,4,20,2,50,0,0,6291712,50％の確率で敵からの\n物理攻撃を回避する\n攻撃後の待ち時間を少し短縮\n自身が死亡した時撤退として扱う,309,0,0,0,0,0,0,20,,1,1,1
500,プリンセス,80,12,800,1550,true,280,550,1,180,320,100,40,530,100,300,10300,310,1610,20,0,true,1,0,30,2,20,0,1,6291712,敵の防御力を無視できる\n自身と王子が配置されていたら\nお互い攻撃力１０％上昇,1031,0,0,0,0,0,0,20,,1,1,1
510,ヴァンパイアプリンセス,80,13,1500,3400,true,220,420,1,300,500,100,40,540,300,10300,10600,1210,10610,20,0,true,1,0,30,2,20,0,1,6291712,他者からＨＰ回復を受けられない\n防御無視攻撃 攻撃毎に最大ＨＰの\n2％ＨＰが回復する,106,0,0,0,0,0,0,20,,1,1,1
520,イモータルプリンセス,80,14,1800,3700,true,330,560,1,140,275,100,40,550,300,10200,10600,10210,10810,20,0,true,1,0,30,2,20,0,1,6291712,他ユニットからのＨＰ回復を\n受けられない\n防御無視攻撃\nスキル終了時にＨＰが全回復,970,0,0,0,0,0,0,20,,1,1,1
530,ハイプリンセス,99,12,1300,2150,true,520,720,1,290,380,100,40,0,0,0,0,0,0,20,0,true,1,2,25,2,50,0,1,6291712,敵の防御力を無視できる\n自身と王子が配置されていたら\nお互い攻撃力１０％上昇,1031,0,0,0,0,0,0,20,,1,1,1
540,ヴァンパイアクイーン,99,13,3200,3900,true,370,490,1,470,600,100,40,0,300,10300,10600,1210,10610,20,0,true,1,2,25,2,50,0,1,6291712,他者からＨＰ回復を受けられない\n防御無視攻撃 攻撃毎に最大ＨＰの\n2％ＨＰが回復する,106,0,545,548,0,0,0,20,,1,1,1
545,ノスフェラトゥ,99,13,3300,4100,true,450,590,1,500,630,100,40,0,0,0,0,0,0,20,0,true,1,3,25,2,50,0,1,6291712,他者からＨＰ回復を受けられない\n防御無視攻撃 攻撃毎に最大ＨＰの\n2％ＨＰが回復する\n自身が死亡した時撤退として扱う,838,0,0,0,0,0,0,20,,1,1,1
548,ブラッドサッカー,99,13,3400,4300,true,380,500,1,490,620,100,40,0,0,0,0,0,0,20,0,true,1,4,25,2,50,0,1,6291712,他者からＨＰ回復を受けられない\n防御無視攻撃 攻撃毎に最大ＨＰの\n3％ＨＰが回復する 人間系、エン\nジェル系の敵に対して攻撃力1.3倍,839,0,0,0,0,0,0,20,,1,1,1
550,イモータルクイーン,99,14,3500,4200,true,510,650,1,270,290,100,40,0,300,10200,10600,10210,10810,20,0,true,1,2,25,2,50,0,1,6291712,他ユニットからのＨＰ回復を\n受けられない\n防御無視攻撃\nスキル終了時にＨＰが全回復,971,0,555,558,0,0,0,20,,1,1,1
555,イモータルオリジン,99,14,4000,5000,true,550,710,1,310,360,100,40,0,0,0,0,0,0,20,0,true,1,3,25,2,50,0,1,6291712,他者からHP回復を受けられない\n防御無視攻撃 スキル中は攻撃力\n1.3倍となり終了時にＨＰが全回復\nスキルの効果時間が30％増加,972,0,0,0,0,0,0,20,,1,1,1
558,リビングエンド,99,14,3600,4400,true,570,730,1,290,310,100,40,0,0,0,0,0,0,20,0,true,1,4,25,2,50,0,1,6291712,他者からHP回復を受けられない\n防御無視攻撃 スキル中ブロック数\n+1となり周囲の地上敵全てを攻撃\nスキル終了時にＨＰが全回復,973,0,0,0,0,0,0,20,,1,1,1
560,ねんどろいどプリンセス,80,12,1800,2800,true,220,495,1,135,270,100,40,0,0,0,0,0,0,387,0,true,1,0,30,2,20,0,1,6291712,敵の防御力を無視できる\n自身と王子が配置されていたら\nお互い攻撃力１０％上昇,1031,0,0,0,0,0,0,20,,1,1,1
565,イビルプリンセス,80,14,1400,3300,true,380,550,1,300,500,100,40,570,400,800,10800,210,1210,443,0,true,1,0,30,2,20,0,0,6291712,他者からHP回復を受けられず魔界\nでの能力低下なし 敵のHP残量に\n応じ与ダメージアップ スキル発動\n時、敵全員の現在HPを10％減少,365,0,0,0,0,0,0,20,,1,1,1
570,イビルクイーン,99,14,2800,4000,true,520,670,1,480,680,100,40,0,400,800,10800,210,1210,443,0,true,1,2,30,2,50,0,0,6291712,他者からHP回復を受けられず魔界\nでの能力低下なし 敵のHP残量に\n応じ与ダメージアップ スキル発動\n時、敵全員の現在HPを10％減少,365,0,575,578,0,0,0,20,,1,1,1
575,イビルシーカー,99,14,3200,4700,true,540,700,1,560,780,100,40,0,0,0,0,0,0,443,0,true,1,3,30,2,50,0,0,6291712,他者からHP回復を受けられず魔界\n能力低下なし 敵HP残量に応じ与ダ\nメージアップ スキル発動時、全敵\nの現在HP15％減少 状態異常無効,866,0,0,0,0,0,0,20,,1,1,1
578,デスブリンガー,99,14,2900,4200,true,580,780,1,500,700,100,40,0,0,0,0,0,0,443,0,true,1,4,30,2,50,0,0,6291712,他者からHP回復を受けられず魔界\n能力低下なし 敵HP残量に応じ\n与ダメージ大アップ スキル発動時、\n全敵の現在HP10％減少,865,0,0,0,0,0,0,20,,1,1,1
600,バンデット,50,10,1300,2000,true,330,530,1,80,130,100,40,610,100,600,0,0,0,4,0,true,1,0,30,2,7,0,0,6291718,アーマータイプの敵に対して\n攻撃力1.5倍,126,150,0,0,0,0,0,20,,1,1,1
601,下級バンデット,50,10,1300,2000,true,330,530,1,80,130,100,40,0,0,0,0,0,0,4,0,true,1,0,30,2,5,0,0,6291718,アーマータイプの敵に対して\n攻撃力1.5倍,126,150,0,0,0,0,0,20,,1,1,1
610,バーサーカー,80,13,2000,2600,true,530,710,1,130,175,100,40,620,600,800,10400,0,0,4,0,true,1,1,30,2,20,0,0,6291718,アーマータイプの敵に対して\n攻撃力1.5倍,126,150,0,0,0,0,0,20,,1,1,1
620,デストロイヤー,99,13,2400,3600,true,650,800,1,175,200,100,40,0,0,0,0,0,0,4,0,true,1,2,30,2,50,0,0,6291718,アーマータイプの敵に対して\n攻撃力1.8倍\n敵を倒すとまれにゴールドを入手\nできる（ゴールドゲット！と同じ）,128,180,0,0,0,0,0,20,,1,1,1
700,竜戦士,30,23,900,1300,true,140,250,1,200,300,100,40,710,0,0,0,0,0,96,-1,true,2,0,30,1,7,0,0,6291712,封印され本来の\n能力を発揮できない\n魔界でも能力が低下しない,392,0,0,0,0,0,0,20,,1,1,1
701,下級竜兵,50,6,750,1100,true,180,260,1,120,150,100,40,0,0,0,0,0,0,95,-1,true,2,0,30,1,5,0,0,6291712,２体までの敵を\n足止めできる\n魔界でも能力が低下しない,392,0,0,0,0,0,0,20,,1,1,1
702,中級竜兵,50,14,1200,1500,true,220,310,1,220,310,100,40,703,100,600,200,0,0,96,-1,true,2,0,30,1,7,0,0,6291712,２体までの敵を\n足止めできる\n魔界でも能力が低下しない,392,0,0,0,0,0,0,20,,1,1,1
703,上級竜兵,80,17,1500,2200,true,310,470,1,310,470,100,40,704,100,600,702,2510,0,96,-1,true,2,1,30,1,20,0,0,6291712,２体までの敵を\n足止めできる\n魔界でも能力が低下しない,392,0,0,0,0,0,0,20,,1,1,1
704,超級竜兵,99,22,2300,3300,true,500,600,1,500,600,100,40,0,100,600,702,2510,0,96,-1,true,2,2,30,1,50,0,0,6291712,２体までの敵を\n足止めできる\n魔界でも能力が低下しない,392,0,707,708,0,0,0,20,,1,1,1
707,エンシェントドラゴン,99,18,2400,3400,true,500,600,1,590,700,100,40,0,0,0,0,0,0,96,-1,true,2,3,30,1,50,0,0,6291712,２体までの敵を足止めできる\n魔界でも能力が低下しない\n魔法耐性が大幅に上昇,683,0,0,0,0,0,0,20,,1,1,1
708,ファフニール,99,22,2600,3600,true,590,700,1,530,640,100,40,0,0,0,0,0,0,96,-1,true,2,4,30,1,50,0,0,6291712,２体までの敵を足止めできる\n魔界でも能力が低下しない\nスキルの効果時間が20％増加\nスキル中のみ攻撃力1.3倍,684,0,0,0,0,0,0,20,,1,1,1
710,ドラゴンプリンセス,80,28,1200,1700,true,320,450,1,400,560,100,40,730,200,800,702,210,1610,6,-1,true,2,0,30,1,20,0,1,6291712,２体まで足止め\n＋防御無視攻撃\n魔界でも能力が低下しない,392,0,0,0,0,0,0,20,,1,1,1
730,真竜戦士,99,28,1600,2500,true,430,540,2,530,680,100,40,0,200,800,702,210,1610,6,-1,true,2,2,25,1,50,0,1,6291712,ブロックした敵全員に防御無視攻撃\n魔界でも能力が低下しない,392,0,770,780,0,0,0,20,,1,1,1
770,竜神戦士,99,28,2000,3000,true,440,560,2,530,680,100,40,0,0,0,0,0,0,6,-1,true,2,3,25,1,50,0,1,6291712,ブロックした敵全員に防御無視攻撃\n魔界でも能力が低下しない\n自身の魔法耐性が増加\nスキル中の攻撃力と防御力1.3倍,840,0,0,0,0,0,0,20,,1,1,1
780,ドラゴンルーラー,99,28,1700,2600,true,480,600,2,560,710,100,40,0,0,0,0,0,0,6,-1,true,2,4,25,1,50,0,1,6291712,ブロックした敵全員に防御無視攻撃\n魔界でも能力が低下しない 竜族\n(ドラゴンライダー系含)1体配置毎\nに自身の攻防+15％(5体まで加算),841,0,0,0,0,0,0,20,,1,1,1
800,サムライ,50,14,1050,1300,true,250,330,2,150,230,100,40,810,100,10100,0,0,0,126,0,true,2,0,30,2,7,0,0,6291712,ブロックした敵\n全員を攻撃できる,0,0,0,0,0,0,0,20,,1,1,1
801,下級サムライ,50,14,1050,1300,true,250,330,2,150,230,100,40,0,0,0,0,0,0,126,0,true,2,0,30,2,5,0,0,6291712,ブロックした敵\n全員を攻撃できる,0,0,0,0,0,0,0,20,,1,1,1
810,サムライマスター,80,17,1300,1900,true,330,440,2,230,320,100,40,820,800,200,10100,0,0,126,0,true,2,1,30,2,20,0,0,6291712,ブロックした敵\n全員を攻撃できる,0,0,0,0,0,0,0,20,,1,1,1
820,ショーグン,99,20,1600,2500,true,400,550,3,280,375,100,40,0,800,200,10100,810,0,126,0,true,3,2,30,2,50,0,0,6291712,ブロックした敵\n全員を攻撃できる,0,0,870,880,0,0,0,20,,1,1,1
870,ダイショーグン,99,20,1750,2700,true,580,760,3,330,440,100,40,0,0,0,0,0,0,126,0,true,3,3,30,2,50,0,0,6291712,ブロックした敵全員を攻撃できる\nスキルの効果時間が30％増加\nスキル再使用時間を45％短縮\nスキル中の攻撃力1.3倍,870,0,0,0,0,0,0,20,,1,1,1
880,黒鋼大鎧武者,99,20,1900,2850,true,460,620,3,490,620,100,40,0,0,0,0,0,0,126,0,true,3,4,30,2,50,0,0,6291712,ブロックした敵全員を攻撃できる\n魔法耐性が上昇 スキル中は\nブロック中の敵物理攻撃に\n反撃し防御力1.3倍,738,0,0,0,0,0,0,20,,1,1,1
900,王子,99,10,700,1400,true,200,400,1,150,300,100,40,0,0,0,0,0,0,6,-1,true,1,0,30,1,5,0,0,6291712,味方全員の\n能力を高める,0,0,0,0,0,0,0,25,,1,1,1
1000,忍者,50,8,570,850,true,100,160,1,80,130,100,40,1010,100,600,0,0,0,112,12,true,0,0,10,1,7,0,0,6291712,敵を足止めしない\n飛び道具での攻撃が可能\nスキル未使用時、敵の遠距離攻撃の\n対象にならない,1032,0,0,0,0,0,0,20,,1,1,1
1001,下級忍者,50,8,570,850,true,100,160,1,80,130,100,40,0,0,0,0,0,0,112,12,true,0,0,10,1,5,0,0,6291712,敵を足止めしない\n飛び道具での攻撃が可能\n敵の遠距離攻撃の対象にならない,1032,0,0,0,0,0,0,20,,1,1,1
1010,忍者マスター,80,10,850,1150,true,160,200,1,130,180,100,40,1020,1000,10300,300,0,0,112,12,true,0,1,10,1,20,0,0,6291712,敵を足止めしない\n飛び道具での攻撃が可能\nスキル未使用時、敵の遠距離攻撃の\n対象にならない,1032,0,0,0,0,0,0,20,,1,1,1
1020,超忍,99,8,1000,1250,true,188,218,1,145,205,100,40,0,1000,10300,300,1010,0,112,49,true,0,2,10,1,50,0,0,6291712,敵を足止めしない\n飛び道具での攻撃が可能\nスキル未使用時、敵の遠距離攻撃の\n対象にならない,1032,0,1070,1080,0,0,0,20,,1,1,1
