_name,CardID,InitClassID,ClassLV0SkillID,ClassLV1SkillID,EvoSkillID,Kind,Rare,DotID0,DotID1,DotID2,SellPrice,BuildExp,LoveEv1,BonusType,BonusNum,BonusType2,BonusNum2,BonusType3,BonusNum3,DeadVoice,DotScale,EffectHeight,CostModValue,CostDecValue,MaxHPMod,AtkMod,DefMod,GachaPicture,GachaStartX,GachaStartY,GachaEndX,GachaEndY,GachaScale,Event1BGM,Event2BGM,Flavor,Flavor2,Illust,MagicResistance,Ability,Ability_Default,FullShot1,Face1,PlatformType,PlatformTypeAwakening,PlatformTypeSkillAwakening,_TypeRace,_TradePoint,_AppearAbilityLevel,_AwakePattern,DotID3,DotID4,CharaImage0,CharaFace0,CharaImage3,CharaFace3,CharaImage4,CharaFace4,PlatformTypeAwakening2,Assign,Genus,Identity,Blood,HomeCooking,ChildCardID,OriginID,RootsID
主人公,1,9900,59,59,59,0,5,0,0,0,500,0,0,0,0,0,0,0,0,9961483,1.5,20.0,0,0,100,100,100,0,0.0,0.0,0.0,0.0,0.0,0,0,42,0,37,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,0
一般兵A【弓】,2,10001,0,0,0,0,0,0,0,0,300,40,0,0,0,0,0,0,0,9961483,1.5,20.0,0,1,95,105,100,0,0.0,0.0,0.0,0.0,0.0,0,0,43,0,14,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
王国重歩兵ラセル,3,201,0,0,0,0,1,0,0,0,500,70,0,0,0,0,0,0,0,9961483,1.5,20.0,1,2,109,101,100,0,0.0,0.0,0.0,0.0,0.0,0,0,44,0,10,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
山賊 手下A,4,601,0,0,0,0,0,0,0,0,300,40,0,0,0,0,0,0,0,9961483,1.5,20.0,0,1,100,100,100,0,0.0,0.0,0.0,0.0,0.0,0,0,45,0,39,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
弓兵ウィルフレッド,5,10001,0,0,0,0,1,0,0,0,500,70,0,0,0,0,0,0,0,9961483,1.5,20.0,1,2,101,109,100,0,0.0,0.0,0.0,0.0,0.0,0,0,46,0,14,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
一般兵A,6,101,0,0,0,0,0,0,0,0,300,40,0,0,0,0,0,0,0,9961483,1.5,20.0,0,1,105,95,100,0,0.0,0.0,0.0,0.0,0.0,0,0,47,0,38,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
兵士長ユリアン,7,100,40,41,218,0,3,0,0,0,3000,750,30,1,275,0,0,2,50,9961483,1.5,20.0,5,3,113,120,117,0,0.0,0.0,0.0,0.0,0.0,0,0,678,6998,39,0,6,0,1,1,0,0,0,101,20,0,2,0,20007,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
傭兵クレイブ,8,100,1,1,1,0,2,0,0,0,1500,300,30,2,50,0,0,0,0,9961483,1.5,20.0,3,3,111,112,107,0,0.0,0.0,0.0,0.0,0.0,0,0,686,0,21,0,70,0,0,0,0,0,0,101,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
破壊者ギャレット,9,200,2,3,199,0,3,0,0,0,3000,750,30,2,55,0,0,3,50,9961483,1.5,20.0,5,3,116,120,114,0,0.0,0.0,0.0,0.0,0.0,0,0,694,7000,13,0,6,0,1,1,0,0,0,101,20,0,2,0,20009,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
金色の盾ベルナール,10,200,16,16,16,0,2,0,0,0,1500,300,30,1,250,0,0,0,0,9961483,1.5,20.0,3,3,109,107,114,0,0.0,0.0,0.0,0.0,0.0,0,0,702,0,21,0,47,0,0,0,0,0,0,101,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
王国魔術師ロイ,11,10101,0,0,0,0,1,0,0,0,500,70,0,0,0,0,0,0,0,9961483,1.5,20.0,1,2,102,108,100,0,0.0,0.0,0.0,0.0,0.0,0,0,52,0,20,10,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,1
魔導師ヴァレリー,12,10100,34,34,34,0,2,0,0,0,1500,300,30,2,50,0,0,0,0,9961483,1.5,20.0,3,3,110,116,104,0,0.0,0.0,0.0,0.0,0.0,0,0,710,0,39,15,27,0,0,0,0,0,0,101,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
黒衣のサイラス,13,10100,34,35,470,0,3,0,0,0,3000,750,30,2,55,0,0,8,16,9961483,1.5,20.0,5,3,122,118,110,0,0.0,0.0,0.0,0.0,0.0,0,0,718,7002,39,15,46,0,1,1,0,0,0,101,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
山賊頭モーティマ,14,600,1,1,1,0,2,0,0,0,1500,300,30,2,50,0,0,0,0,9961483,1.5,20.0,3,3,116,111,103,0,0.0,0.0,0.0,0.0,0.0,0,0,726,0,13,0,26,0,0,0,0,0,0,101,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
狂戦士フューネス,15,600,11,11,11,0,2,0,0,0,1500,300,30,1,250,0,0,0,0,9961483,1.5,20.0,3,3,109,119,102,0,0.0,0.0,0.0,0.0,0.0,0,0,734,0,19,0,60,0,0,0,0,0,0,101,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nil,0,2
