アーチャー,アルテミス,セレーネ,ラピッドシューター
アコライト,ハイアコライト,,
アベンジャー,デスアベンジャー,,
アルケミスト,マスターアルケミスト,ロードオブヘルメス,マグヌムオプス
イビルプリンセス,イビルクイーン,イビルシーカー,デスブリンガー
イモータルプリンセス,イモータルクイーン,イモータルオリジン,リビングエンド
インペリアルナイト,ナイトオブナイツ,帝国筆頭騎士,インペリアルジェネラル
ヴァンパイアハンター,アンデッドキラー,シャドウハンター,ジャッジメント
ヴァンパイアプリンセス,ヴァンパイアクイーン,ノスフェラトゥ,ブラッドサッカー
ヴァンパイアロード,ヴァンパイアハイロード,カーミラ,デイウォーカー
ウィッチ,アークウィッチ,ホーリーウィッチ,ソーサレス
エレメンタラー,エレメンタルマスター,,
エンジェル,ドミニオン,セラフィム,アズライール
エンチャンター,ハイエンチャンター,ゴーレムマスター,グランドエンチャンター
キョンシー,屍道士,,
くぐつ使い,超電機甲士,ドールマスター,ライドマスター
グラディエーター,筆頭剣闘士,オークブレイバー,オンスロート
グランドナイト,デュークナイト,,
グリフィンライダー,グリフィンナイト,,
クロノウィッチ,アーククロノウィッチ,クロノマスター,クロノマンサー
サッパー,サッパーチーフ,,
サムライ,ショーグン,ダイショーグン,黒鋼大鎧武者
サモナー,サモンマスター,グランドサモナー,幻想召喚士
シーフ,トレジャーハンター,アルセーヌ,トリックスター
ジオマンサー,ジオマンサー,,
シャーマン,シャーマンロード,神託巫女,ビジョナリー
セーラー,セーラーエリート,アドミラル,ドレッドノート
ソードマスター,剣聖,デッドリーエッジ,剣神
ソルジャー,ソルジャーエリート,コマンダー,ウォリアー
ダークストーカー,アビスダークストーカー,,
ダークファイター,パラディン,マスターパラディン,カオスナイト
ダークプリースト,ダークカーディナル,,
ダンサー,スーパーダンサー,,
チェイスハンター,チェイスハンター,,
ちびアーチャー,,,
ちびアベンジャー,,,
ちびヴァンパイアプリンセス,,,
ちびウィッチ,,,
ちびエンジェル,,,
ちびクロノウィッチ,,,
ちびサムライ,,,
ちびサモナー,,,
ちびセーラー,,,
ちびソルジャー,,,
ちびダークファイター,,,
ちびダークプリースト,,,
ちびデモンマスター,,,
ちびドルイド,,,
ちびバンデット,,,
ちびヒーラー,,,
ちびビショップ,,,
ちびプリンセス,,,
ちびペガサスライダー,,,
ちびヘビーアーマー,,,
ちびメイジ,,,
ちびメイド,,,
ちびモンク,,,
ちびロイヤルガード,,,
ちびローグ,,,
ちびワルキューレ,,,
ちび大邪仙,,,
ちび天狗,,,
ちび王子,,,
ちび仙人,,,
ちび妖狐,,,
ちび前衛戦術家,,,
ちび後衛戦術家,,,
ちび砲術士,,,
